编号	是什么	为什么	出处	何时消除
D110	手牌**卡框实机不渲染**（视觉上"根本没有框"）	槽底 `ResPaths.HudHandSlot` = `ui_out/200`，本体 alpha max=60（23.5%）、色≈(18,12,10)；**实机卡缘像素 = 竞技场草地原色 161（实测："什么都没有"）**。⚠️ **机制未定，⛔ 不写机制结论**：曾记为"`Sliced` + 低 alpha ⇒ 实机不渲染"，但通道级暗罩拟合**不支持**"均匀 23% 暗罩"（卡区外/内同带 = (153,186,70)/(148,165,67)，若为均匀深色罩则三通道 alpha 必须相等，实测 0.037/0.121/0.050 不一致；两构建卡区外侧逐值相同 ⇒ 光照可比，非全屏色偏）⇒ **两种成分并存、机制未定**（CR-T3 跨槽位计数：右缘内区段 other 行数 slot0/1/2/3 = 25/93/129/26 ⟹ 有**卡面内容**成分；四槽共同 other 行 25 行且非草色 ⟹ 有**结构/背景**成分）—— `tools/probes/cr-t2x-edge-col.py --rowscan`	`.ai-tmp/test/CR-T2f-frames.png` + `tools/probes/cr-t2f-frame-compare.py`（三方边缘剖面）；`AV2-允许差异.md` D-AV2-2 / `AP1-允许差异.md` D-AP1-4（结论成立，但"原因"应由"缺素材"改为"渲染口径"）	⚠️ **改判（2026-09-23 16:1x，lead 只读复核）：不算已消除** —— 原记「已消除（CR-T2g）」的锚点**不存在**：.ai-tmp/test/CR-T2f-frames.png 盘上无此文件，且全盘 find .ai-tmp tools/probes 无任何 CR-T2g* 产物（只有探针 cr-t2g-card-body.py，其应产出的 CR-T2g-card-body.txt 亦缺）⇒ 属 L1 自报，按 skill「证据必须有锚点 + 分级」不可作判据。另：本行判据用的读数 (0,0,0)×6 在 D111 与验收表 D112 里被判不达标 ⇒ 同一读数两个相反结论。⇒ 回退为未消除；须重采卡缘剖面（含可达锚点）后重判
D111	手牌卡体**描边厚度**：我方 6px vs 原版 ≈1px	`ui_out/43` 本体自带 6px 深色带；已落地图元里**没有第二件"细描边 + 浅卡体"**（`tools/probes/cr-t2g-card-body.py` 全扫：卡形+浅色仅 43 / 532 / 802 / 597 / 476），且 43 与卡组编辑卡格同观感（改它会让两处不一致）	同上 + `tools/probes/cr-t2g-card-body.py`；`CR-T2x-hud-detail.txt` 卡缘读数（卡缘 (146,1700) 原版 (82,82,92) / 我方 (0,0,0)）	素材集内无更细的卡体件 ⇒ **接受（素材缺口）**，待新版解包素材
D112	圣水条**槽底 `frame_155` 实机不可见**（空槽看不见）	`HudPanel.BuildElixir` 槽底 = `ResPaths.ElixirBarTrack`(155，1×74)，低 alpha（中行 alpha=94）；**实机在槽底处看到的是背后底图**（实测我方 (189,160,97) vs 原版 18 (48,71,113) 深蓝槽底可见）。⚠️ 机制**同 D110 = 未定**（⛔ 不写"`Sliced` 不渲染"这类结论）	`AV2-允许差异.md` D-AV2-1；`CR-T2x` 实测槽底处 (900,1815)：我方 (189,160,97)（露出背后底图） vs 原版 18 (48,71,113)（深蓝槽底可见）	**下一批 HUD 改动时与端件（156/158）一起处理**（同族不透明件 156 已被占用为轨道右端 `HudPanel.cs:324`）
D113	**基线图选型**：`20_对局HUD_1080x1920.jpg` **不是**与复刻目标（2.1.5）一致的原版实机截图	机械审计三项：20 顶部**无计时板、无暂停键**（只有 `×2` 徽标 + 裸冠数）、HUD 下方**露出竞技场**（1908..1919，非完整整屏 HUD）、手牌是**金框 + 卡顶双菱形紫帽**（与 18 的灰白卡体族不同）；MD5 与 18 不同；`策划/基线图/索引.md:25` 早已把 20 记为"**未取证**"	`tools/probes/cr-t2d-baseline-audit.py`；`.ai-tmp/test/CR-T2d-top.png` / `CR-T2d-bottom.png`	**已裁定（2026-09-23）**：几何基线 = **18**；20 归入"另一版本/模式"，不作基线。⚠️ 连带撤销两条：曾按 20 登记的"金色卡框缺失"与"卡顶双菱形紫帽缺失"**均不成立**（`CR-T2e` 实测：18 卡顶 44px 条深紫占比 0.070 vs 20 的 0.207）
D114	对局**渲染落后服务端 200ms**（= 2 个快照间隔的抖动缓冲）	CR-T4 修"换窗时刻绑在包到达上"时引入：手里多握一格快照 ⇒ 到达抖动 ±半个间隔也推不动正在渲染的窗口；代价是画面比服务端晚 200ms	`client/Assets/Scripts/View/BattleViewRoot.cs`（`RenderLagIntervals = 2f` 及注释）；`.ai-tmp/test/T3-flow-cr4-after.tsv` 的 `bufLagMs` 155~263	**无原版出处**（工程推理，非量取值）⇒ 待拿到原版客户端的延迟口径后重标
D115	手牌卡面**内缩比例**的出处是已判错的基线图（20）	现行 `ArtInset*Frac` 由 20 图反解；在 18 口径下与 18 反解值（卡面 130×157）**差 ≤1.3px**，而 18 那次反解置信度中低（当时手牌为灰化态，score 79.4 vs 20 的 26.6）	`tools/probes/cr-t2-fit-solve.py`（可换基线图与卡框）	待"彩色手牌的 2.1.5 基线图"（21/22/23 中能量出卡框 rect 的）到手后**重解替换**（当前差值 ≤1.3px ≈ 卡宽 0.9%）
D116	对局 HUD·**圣水刻度线的深浅（被压暗量）**：我方相对压暗 **14.2%** vs 原版 **17.8%**（每通道差 ≤ 9/255 = 3.5%）	原版刻度是**乘算**暗覆盖（`tools/probes/cr-d131-hud-measure.py` §2.4 逐列读数：k=1 品红填充 (217.1,74.2,222.1)→(178.5,57.6,181.7) = ×0.82；k=3 空槽 (43.3,55.1,94.3)→(33.8,46.8,79.6) = ×0.85），而 uGUI 的 `Image` 只有 SrcAlpha 混合（工程为**线性色彩空间**，该混合模型已用我方实机 G 通道逐值验过：预判 117.6 vs 实测 118.0）⇒ **做不出乘算**。我方 α=0.30 × 原版帧 `frame_160` 自色 (35,35,35,255) 实测相对压暗 14.4%(k=3) / 14.2%(k=8) —— ⭐ **落在原版自身 9 条的散布区间 [10.7%, 17.8%] 内**（原版 k=8 只有 10.7%）⇒ 与基线量取噪声不可区分。⛔ 不改成一个"拟合值"：单 α 在线性混合下无法同时对上亮填充端与空槽端（两端各自拟合值 0.376 / 0.25 互斥）；且原版 `d1`…`d9` 的颜色/矩阵项（`0c` 的 colorIdx）未解出（`策划/战斗HUD素材索引.md` §2.1 第 2 条）⇒ **无权威值可搬**	`tools/probes/cr-d131-hud-measure.py` §2.4（基线）/ §4（我方实机，同一把尺子逐列）；`.ai-tmp/screenshots/D131-hud-live-t0.png`；`.ai-tmp/test/D131-live-evidence.txt`	解出 `.sc` `0c` 的 colorIdx + 放置矩阵后重判；当前**保留**（差值在基线自散布内）
D117	出牌落地特效的**素材选型 = f119（`deploy_arrows_effect`）**，**不是** f258（`filter_deploy_unit_*`）；且 9 张基线图/参考图里**找不到**「某单位刚落地」的那一帧 ⇒ ⛔ 没有原版落地录像可作判据	f258 被**十几组滤镜共用同一帧**（`filter_deploy_unit_default/ghost/legendary/miner/skeleton` + `filter_cold` / `filter_damage_*` / `filter_hologram` / `filter_poison` …），像素内容是**一个哥布林本体形象**（探针实测：画布 474×537、不透明像素 3629、bbox (215,222)-(288,306)）⇒ 把它当独立落地特效播，会在**任意卡**的落点上画出一个哥布林；f119 才是独立 spawn 特效（**绿色上箭头**：不透明 bbox (233,279)-(266,316)=34×38、主色 (112,236,56)）。另：用 f119 主色在基线/参考图上机械扫描（±45 容差 / 2px 步长）**找不到**可作判据的落地箭头 —— 03 的 2874 个命中集中在底部 UI 区、05 的 20 像素是木桶/木桩上的绿标记、06 的 43、09 的 668 是哥布林本体绿、10 的 39 ⇒ 无原版落地画面可对。时长取 **1.0s 定格**（不是 1/14 秒一闪而过），理由见 `EffectsView.Node.Hold` 注释（该类效果的时间轴是**同一像素帧重复 N 次**：16 条 timeline 全指向 f119 @60fps）	`策划/单位动画分组表.md:5021`（f119 = deploy_arrows_effect｜clip 354｜60fps｜timeline 16 条全指向 f119｜档位=spawn）/ `:5143-5167`（filter_deploy_unit_* 与十余个滤镜共用 f258）；`策划/策划案/皇室战争参考规格.md:156`（deploy_time 1000ms）；探针 `tools/probes/copy-fx-assets.py` + `.ai-tmp/test/D132-probe-f119.txt` / `D132-probe-f258.txt` / `D132-green-scan.txt`；裁图 `.ai-tmp/screenshots/D132-f119-zoom.png` / `D132-f258-zoom.png` / `D132-crop-r05-arrow.png`	拿到原版「出牌落地」的实机录像/截图（能看出落地那一下贴的是哪一帧）后重判；当前选型 = f119
D118	客户端对「命中」「开火」两类表现只能**从快照反推**（协议里没有这两类事件），且出牌弹道的**施法者**只能取「本方离落点最近的一个单位」	① 协议 `BattleEvent.kind` 只有 0..5（`Def/ProtoDef.cs:199`；`server/game/core/snapshot.go:4-11`），而 `kind==2` **只在死亡时发** ⇒ 非致死命中没有任何事件可挂 ⇒ 命中 = 逐 id 比对前后两帧快照的 `hp` 下降（非致死）；② 同理没有「开火」事件，且服务端的 `anim` 是**状态不是边沿**（`server/game/core/combat.go:68-73` 每次挥砍都置 2、站桩时 `battle.go:511-515` 又不动它）⇒ 开火 = `anim==2` + 该目录 `hit_speed` 节拍排期（`UnitAnimTable.Entry.HitSpeedMs`，与 `UnitView` 播攻击档同一份表）；③ `server/game/core/battle.go:219-221` 发射 `EvPlayCard` 时**未填 `EntityID`**（= 已登记的 D48）⇒ 载荷不带施法者，只能取「本方离落点最近单位」，全场本方无单位时才回退国王塔中心并留痕。目标侧同样只能近似：客户端没有 hitbox 半径/空中地面/only_* 字段，用**中心距最近**近似服务端 `acquireTarget` 的 hitbox-gap 最近（`server/game/core/targeting.go:16-52, 76-93`）。**服务端改协议不在本片文件边界内**（任务书明确 ⛔ 不改服务端协议） ｜ **第 6 轮实测（据该行「出处」列的同一份证据）**：本轮 3 条出牌弹道里 2 条从**单位位置**起飞（`(-3.00,-3.00)` 注入施法者 / `(-5.50,-6.58)` 自然流真实本方单位）、1 条因该缺口退回 **team1 国王塔中心 `(0.00,13.00)`**，且**恰好 1 条 Warn 留痕**（19:29:20.637，比对应 Info 早 64 ms）⇒ 修复生效但**无法**完全消灭塔中心起点（根因 = `EvPlayCard` 与单位首次进入快照不同帧）；判据脚本第 ⑦ 条把「从塔中心起飞的条数 == 降级 Warn 条数」写成断言	`client/Assets/Scripts/View/BattleViewRoot.cs` 的 `TrackCombatSignals` / `PlayHitFx` / `PlayBattleShot` / `NearestEnemy` / `CasterWorld` / `PlayProjectileFlight`（各带出处注释）；同源做法 `client/Assets/Scripts/View/BattleAudioView.cs:287-320`；缺口 = `差异登记 D48`	服务端为每次开火/命中发一条带 `caster_entity_id` / `target_entity_id` 的事件时（= D48 的正解）
D119	**同一次 Play 里拖久了，特效帧会取不到**：`SpriteBank.LoadDir` 从「成功」变成 `取不到任何帧（Sprite/Texture 两条路都空）` ⇒ 落地/命中/弹道特效**静默不播**（本片的 `EffectsView.SkippedTotal` 会把它计成 skipped，⛔ 不静默）	⚠️ **机制未定，⛔ 不写机制结论**（同 `差异登记 D110` 的教训）。实测时间线（console 原文）：18:44:35 `LoadDir("Sprites/Effects/Deploy", UnifiedCanvasAnchor)` **成功**（`统一锚点…|Sprites/Effects/Deploy 帧=1 并集=(0,0)-(474,537) ppu=100`）→ 18:44:41 `LoadDir("Sprites/Effects/Hit", …)` **成功**（`帧=7`）→ 18:44:42–18:45:00 编辑器主线程被卡约 18 秒（`Failed to handle /api/exec request: Main thread operation timed out after 5000ms`）→ 18:45:10 再取 Deploy **取不到** → 18:45:19 再取 Hit **取不到**。已排除 `Teardown()`：那次对局只 `Build()` 过一次（日志无 `对局表现层已拆`），而 `SpriteBank.ClearCache()` **只在** `BattleViewRoot.Teardown()` 里调用 ⇒ 缓存未被清，但缓存里的帧已失效、重取又失败。旁证：`LoadViaTexture` 造出来的精灵名形如 `gen_frame_119_0`，本片 FX dump 里贴的正是它 ⇒ 走的是 Texture 兜底那条路	`.ai-tmp/test/D132-console.log.txt`（18:44:35.571 / 18:44:41.958 / 18:45:10.602 / 18:45:19.657 四行）；`client/Assets/Scripts/View/UnitView.cs:780-811`（`LoadDir` 两条路 + `Warned` 去重）+ `:1058-1076`（`LoadViaTexture`）；另一条独立线索 `差异登记 D110`（同族「素材在但实机看不到」）	定位到 `Game.Res` 的卸载/内存水位机制后（⛔ 不在本片文件边界内：本片只能改 `BattleViewRoot.cs` / `EffectsView.cs` / `server/game/core/entity.go`）
D120	单位**朝向表现口径** = 「只播一条侧身 clip（视角 `_5` = 右向侧身）+ `SpriteRenderer.flipX` 镜像」；而原版素材是按单位朝向在 **9 个视角**（`_1`…`_9`）之间切换 —— 单位朝正上/正下（= 镜头纵深方向）走时，原版会切到**背身**(`_1`)或**正朝镜头**(`_9`)视角，本工程仍播同一张侧身帧、只翻不翻左右 ⇒ 视觉上像"横着平移"	2.1.5 素材**提供**了 9 个视角（本片在 knight / musketeer / archer / giant 四目录互证：`_1`=背身、`_5`=右向侧身、`_9`=正朝镜头），原版据此按朝向选视角；本工程朝向只有 `facing ∈ {-1,+1}`（服务端只给水平方向，`server/game/core/entity.go` `faceToward`），客户端用 `flipX` 表达（`UnitView.cs` 的 `_renderer.flipX = e.facing < 0`）⇒ **缺「朝向 → 视角号」映射表**：素材里没有、服务端快照里也没有该信息，9 视角在 2D 里无法只靠 `flipX` 复现（另有 7 个绕 yaw 的视角）。本片的选择（取 `_5`）是**在现有信息下唯一能读出"掉头"的口径**（正朝镜头视角左右镜像后几乎无差别）	`策划/单位帧段表.md:2717`（一条 `0c` clip 内部 = 某个视角下按时序的逐帧动画）+ `:2718`（同组 `_1…_9` = 9 个不同**视角**）；本片视角判据图 `.ai-tmp/test/D129b-view-pick-chr_{knight,minion,musketeer,archer,giant}_out.png`（逐格标 `视角号 + frame_NNN`，生成器 `tools/probes/d129b-view-pick.py`）；同源既有判定链 `client/Assets/Scripts/View/ArenaView.cs:434/457-460`（公主塔乘员取"正朝镜头"那一视角 = `_9`）；原版对局图 `策划/参考图/03_对局_1320x2868.jpg` 蓝方女枪手侧身朝左（裁图 `.ai-tmp/test/D129b-ref2-musketeer.png`）	已消除（D129c）：映射表 = `tools/probes/d129c-view-map.tsv`（16 档朝向 → 视角号 + 镜像位），由 `tools/probes/d129c-yaw-verify.py` 反解并断言 A1–A6（4 目录 × 8 对剪影旋转 Δ 同号且有界、链式朝向与表吻合 ±25°、武器极角 θ 严格单调且过零点在 `_4`/`_5` 之间、表 == 公式 `90° − step×22.5°`、投影比例 k ∈ [1.0,1.8]）+ 负控 `--corrupt 4=3` 判红 5 条（A5 + 四目录 A2）。独立佐证 = **素材打包顺序**（9 视角帧段起点随视角号单调，138 个「9 视角齐全」的 (目录,档位) 自洽 116 = 84%；4 锚点目录 walk 全过：knight/musketeer `96,84,…,0`、archer `64,…,0`、giant `416,272,…,160`）。客户端落地 = `UnitAnimTable.cs` 每档 `Clip.ViewRuns` 存 9 视角（42/48 目录三档齐 9 视角）+ `UnitView.cs` 按**移动方向的位移**求朝向极角选视角（滞回 0.25 档，站桩保持、pool 复用复位）。⚠️ 出处级别：映射表是**从素材反解 + 外部锚点**（`ArenaView.cs:434/457-460` 的 `_9` = 正朝镜头）推得，**不是**原版客户端选视角规则的原文 ⇒ 若要把"原版规则"1:1 钉死，仍需原版客户端或录像逐帧对照。逐视角帧段的原始排布遗留见 `差异登记 D126`。
D121	`chr_giant_out` **蓝方（主套）** 的 `attack` clip 只有 **10 帧、且是隔帧取**（frame `80,82,84,…,98`，间隔 2）；而**红方（敌套）** 同档 `giant1_enemy_attack1_5` 是 **20 帧连续**（`80-99`）⇒ 蓝方巨人挥砍只有红方一半帧数（本工程用蓝方主套 ⇒ 实际播 10 帧）	资产原样，非本片解析错误：clip 段表里 `giant1_attack1_5`（clip 653）`n_raw=10 / n_frames=10 / expanded=False / n_dangling=0 / n_missing_png=0`，而 `giant1_enemy_attack1_5`（clip 577）`n_raw=19 / expanded=True / n_frames=20`（含嵌套 movieclip 展开）；生成表的断言（每档 `Runs` 必须完整等于某一条 clip 的 `runs`）对该行**判绿**。⚠️ **是否符合原版蓝方巨人挥砍表现未取证**：9 张基线/参考图里没有"蓝方巨人正在攻击"的画面可对	`.ai-tmp/test/D129b-clip-segments.tsv`（`chr_giant_out / attack / side=main, clip 653` vs `side=red, clip 577`）；`client/Assets/Scripts/View/UnitAnimTable.cs` 的 `chr_giant_out` attack 行（`Runs = new[]{ 80,1,82,1,…,98,1 }`、`Source = giant1_attack1_5｜clip 653｜视角 5｜main`）；逐帧序列 `.ai-tmp/test/D129b-frames-seq.tsv`；实机采样到该档（`.ai-tmp/test/D129b-live-evidence.txt` step 6/7 `dir=chr_giant_out anim=2 frame=98`）	`BLOCKED(缺 原版蓝方巨人攻击画面)`：找到原版蓝方巨人挥砍的实机帧序列（或解出 `.sc` 的 `0c` colorIdx / 放置矩阵后重判"隔帧"是原设计还是解包残缺）
D122	`knight` / `musketeer` / `archer` 的 **attack clip 首帧 = 该目录的 idle 帧**（`112` / `319` / `76`）⇒ 攻击动画会先显示 1 帧**站姿**再进入挥砍（knight 的 `hit_speed_ms=1200` 里有 80ms 是站姿）	资产原样（非本片解析错误）：这三个目录 attack clip 的 `runs` 首段就是那 1 帧（`112,1` / `319,1` / `76,1`），且同 clip 内不跨视角（断言判绿）。⚠️ 未取证这 1 帧是原版的「起手/蓄力帧」还是解包时把 idle 帧并进了攻击 clip	`.ai-tmp/test/D129b-clip-segments.tsv`（`chr_knight_out/attack/main` clip 535 `runs=112,1,415,14`；`chr_musketeer_out` `319,1,364,10`；`chr_archer_out` `76,1,101,5`）；逐帧序列 `.ai-tmp/test/D129b-frames-seq.tsv`	`BLOCKED(缺 原版攻击首帧判据)`：从原版实机量"挥砍起手是否有一帧站姿"；或 `.sc` 的 clip 首帧 shapeID 与 idle shapeID 逐值比对（需要 clip 的 shapeID 原值，本片未取）
D123	单位**前后遮挡（纵深）粒度** = 每格 **16 级**：`order = SortingOrder.Unit(1000) + round((ArenaTilesH/2 − y) × 16)`，值域 `[1000−512, 1000+512] = [488, 1512]`（旧值每 0.5 格 1 级 = `(16−y)×2`，值域 ±32 ⇒ 同一行里相距半格的单位会撞同一 order、前后关系退化成"谁后建谁在上"）	**无原版出处（工程推理）**：本片只保证「同列单位不再并列」这一**必要条件**；「原版到底按多少级翻转前后」**没有量取值**（9 张基线/参考图分辨率下无法反解逐级阈值）。选 16 的理由可复算：1080×1920 下 1 格 = 60px（出处 `ArenaView.cs:741-751` 的 `orthographicSize` 推算）⇒ 16 级/格 ≈ 3.75px/级，小于同一格内单位的最小可见间距；同时值域两端不越过 `SortingOrder.Tower`(50) 与 `SortingOrder.HpBar`(2000)	`client/Assets/Scripts/View/UnitView.cs` 的 `Apply()`（`_renderer.sortingOrder = SortingOrder.Unit + Mathf.RoundToInt((GameConst.ArenaTilesH * 0.5f - worldPos.y) * 16f);`，注释里写明值域与两条边界约束）—— ⚠️ **出处是工程推理，不是原版量取值**；实机见 `.ai-tmp/test/D129b-live-evidence.txt`（`unitOrderRange=1239..1361`，同批 minion 拿到 1239/1240/1252/1256/1261/1272 等不同 order）	`BLOCKED(缺 原版纵深翻转阈值)`：从原版对局录像逐帧量「同列相邻单位的最小 y 差 → 前后关系翻转」后重标；当前档位间口径统一、无功能缺陷
D124	塔阵亡废墟的两帧（`Tower_destroyed_ground1/2`）是**按队伍**分的（蓝 = 记录序 207 / 红 = 205），**不是**按塔型分；`.sc` 里**没有王塔专属废墟** ⇒ 国王塔复用公主塔尺寸的废墟（本片唯一可用素材下的近似）	三条互相独立的证据（都可复跑）：① **数量**：1v1 只有两帧废墟，却要覆盖 {蓝王,红王,蓝公,红公} 四种组合 ⇒ 两帧只能覆盖**一个**维度；废墟两帧的均色几乎相同（205 r−b=**+42.8** / 207 r−b=**+40.7**，都是中性暖色石木色），而塔体 art 的阵营色是**烘焙**的（rec211 r−b=+32.7 红 / rec213 r−b=−3.3 中性偏蓝，见 `ArenaView.cs` 顶部 CR-T1b 段）⇒ 废墟 art 不带阵营色，「按队伍分帧 + 两型塔共用」在画面上自洽。② **命名惯例**（同一文件内 6 组互证）：本 `.sc` 里 `_01`=**BLUE**、`_02`=**RED** —— `kingtower_goldrush_01` 取蓝段 rec 30-47/99-161、`_02` 取红段 15-28/30-97；`kingtower_pump_01/02`、`kingtower_gemrush_01/02`、`kingtower_xmas_01/02` 同形；四组 `princesstower_*_01_top`(rec 高)/`_02_top`(rec 低) 也与 `StarTower_top_blue`(rec 8) > `StarTower_top_red`(rec 7) 同序。③ **地脚线**（与宽度无关的独立量）：量每张 art 「墙基下沿」（该行宽度骤降的那一行）—— 王塔 rec213=**292** / rec211=**292**；公主塔 rec10=**276** / rec9=**276**；两帧废墟=**275**(205) / **270**(207) ⇒ 两帧废墟都落在**公主塔的地脚线**上（差 1~6 px），没有一帧贴王塔（差 16~22 px）⇒ 它们不是「一王一公」，而是同一型塔的两个队伍变体。⚠️ 反向的读法（「王=205/公=207」按最大宽比值配）在「最大宽 / 本型 art 最大宽」这个比值上看着更自洽（离散 0.059 vs 0.201），但那要先假设「两帧不同型」，是循环论证 ⇒ 只登记、不作依据。缺口：`.sc` 无 `KingTower_destroyed`/`StarTower_destroyed` 一类王塔专属废墟；`策划/基线图/` 与 `策划/参考图/`（03/04/05/06/08/09/10/20/21/22/23 逐图裁过，产物 `.ai-tmp/test/CR-D133-towerband-top.png` / `-bot.png`）**没有一张含已阵亡的塔**（对局图都在开局）可交叉核对	`tools/probes/cr-d133-tower-ruin.py`（§A-D = export/clip/placement 全表，§F = meta 子精灵 + alpha 紧框 + 底 15% 带 + 地脚线 + 方案对比）⇒ `.ai-tmp/test/CR-D133-tower-ruin.txt` / `.json`；配对叠加图 `tools/probes/cr-d133-rubble-compose.py` ⇒ `.ai-tmp/test/CR-D133-ruin-pairing.png`；实机 `.ai-tmp/drivers/D133-tower-drive.cs`（按帧号/队伍打印每块废墟的 sprite 名 + rect + localPos + enabled）；代码 `client/Assets/Scripts/View/ArenaView.cs` 的 `BlueTowerRubbleFrame` / `RedTowerRubbleFrame` / `FramesByNumber` / `CanvasOffsetPx` / `CreateRubbleLayers` / `TowerView.SetTowerLayersEnabled`	BLOCKED(缺 王塔专属废墟帧 + 缺含已阵亡塔的原版对局图)：拿到原版王塔阵亡画面（或 `.sc` 里出现王塔专属 destroyed export）后，按「王塔/公主塔各自取帧」重标；当前实现把唯一可用的两帧按队用，并按实机截图逐塔核过
D125	塔血条**没有数字与等级徽章**（原版塔条上有 `1740` 一类血量数字 + 左侧金色等级牌），我们的血条是两个纯色 Quad	原版塔血条含文本与徽章：基线图 `策划/参考图/04_对局_1320x2868.jpg` 底部公主塔条的放大裁切 `.ai-tmp/test/CR-D133-bar-ruler.png` 里「1740」的白色描边数字与金色等级牌都在条上（同一张裁切还给出条的外高 37 px）。引擎侧 `clover-client-unity-engine/Runtime/Presentation/UIWidgets.cs` 的 `WorldHpBar.Build` 只造两个 Quad（`Bg` = width+0.04 × height+0.035、`Fill` = width × height），**没有文本/徽章能力**；本工程内也没有字体资源（`find -iname "*font*"` 空）。原版对应的图元在 `ui_v215.sc`（`hp_player_tower_withNumber` clip 6903 = `bar`(rec 902-903) + `hpNumber`(rec 890) + `buf` + `level`，另有 `eldaNumbers`），但引擎 UIWidgets 不提供取它的接口。⛔ 本片文件边界只许改 `ArenaView.cs` 的塔相关区域，不许动 `client/Assets/Scripts/UI/**` 与引擎仓 ⇒ 本片修不了	`client/Assets/Scripts/View/ArenaView.cs`（塔血条创建处的注释）；`clover-client-unity-engine/Runtime/Presentation/UIWidgets.cs:1170-1180`（`Build`）；`.ai-tmp/test/CR-D133-bar-ruler.png`；`策划/参考图/04_对局_1320x2868.jpg`；`原版资源/sc/ui_v215.sc` 的 clip 6903	BLOCKED(缺 字体资源 + 缺引擎文本图元接口)：引擎提供「血条带文字/徽章」的 widget（或本工程落地字体资源 + 改 `client/Assets/Scripts/UI/**`）后接线
D126	部分目录的「视角号 ↔ 帧段排布」**互相矛盾**（同一动作的 9 个视角帧在 `.sc` 里不是按 `_1…_9` 连排）⇒ 这些目录的**逐视角选择不可信**	独立于像素判据的"素材打包顺序"判据（`d129b-gen-anim-table.py` 的 `layout_check()`）：原版把同一动作的 9 个视角按视角号**连排**，故该 (目录,档位) 的 9 个帧段**起点**应随视角号单调（允许相邻等值）。实测 138 个「9 视角齐全」的 (目录,档位) 里**自洽 116（84%）**、**不自洽 22**；典型：`chr_electro_wizard_out` walk `[120,32,96,24,16,8,56,0,40]`、`chr_ice_wizard_out` walk `[114,42,98,34,26,18,66,10,0]`、`chr_goblin_archer_out` walk `[70,60,50,40,30,20,98,10,0]`、`chr_bowler_out` idle `[103,101,301,99,97,95,93,300,91]`、`chr_golem_out` attack `[297,287,277,267,1,1,1,1,1]`。可能是解包把不同动作/不同角色的 clip 归进了同一视角组，或该动作本就"每视角一帧不同姿势"	`.ai-tmp/test/D129b-clip-segments.tsv`（逐视角帧段的原始数据）+ `tools/probes/d129b-gen-anim-table.py` 的 `layout_check()`（`--selftest` 会打印**全量清单**，落 `.ai-tmp/test/D129c-gen-table.log`）；该判据与像素判据（`d129c-yaw-verify.py`）**互相独立**	`BLOCKED(缺 原版「谁是视角 N」的权威标注)`：本表仍按 `.sc` 的 `view` 列**如实写出**（出处一致，⛔ 不臆改其值）；要修得先有原版客户端/录像的逐帧视角对照，或 `.sc` 里 clip 视角语义的原始字段
D127	塔血条「满血也看不见」的**第三个原因** = 血条两个 Quad 的排序层停在引擎默认 0，被场地底图（1/2）盖死 ⇒ 已显式传 SortingOrder.HpBar(2000)	引擎 `WorldHpBar.Create` 的 `sortingOrder` **默认 0**（`clover-client-unity-engine/Runtime/Presentation/UIWidgets.cs:1063` 明写「刻意保持 0」，类注释「① 缺陷」也写明"业务侧必须自己传大值，否则会被自己的精灵盖住"）；而场地底图两半是 `SortingOrder.ArenaBase + 1 / +2` = **1 / 2**（`ArenaView.cs` 的 `orderBlueHalf`/`orderRedHalf`）⇒ **后画的底图把 order=0 的血条整块盖住**，数值上 `enabled=True` 而画面上一根都没有。**受控实验（本片第 4 链的 driver 负控，只改一个变量）**：把 6 座塔血两个 Quad 的 sortingOrder 整体改成 **0**（= 引擎默认/修复前）抓一帧 ⇒ 渲染帧里塔条 **0** 条；改回 **2000** 同机位再抓 ⇒ 塔条 **5** 条（在框内的 5 座）。两次抓图之间**单位的绿条始终在**（未改动）⇒ 唯一变量成立。⚠️ 方法论（会踩的坑）：`Renderer.enabled` 与 `Renderer.isVisible` **都不能表达"被别的 Quad 盖住"** —— order=0 那一组里 5 条在框内的塔条同样 `enabled=True` 且 `isVisible=True` ⇒ 这类判据**只能用像素判**（本片为此写了 `tools/probes/cr-d133-verify-ours.py`）。（另：本行顺带更正 D125 里"条的外高 37 px"这一读数 —— 那是把**填充**高当成了外高；同一张裁切复量：填充 **29 px** / 外高 **≈34 px**，两条独立口径反解出 local 高重合于 **0.2025**，本片取 **0.20**。）	`client/Assets/Scripts/View/ArenaView.cs`（塔血条创建处显式传 `SortingOrder.HpBar`；先例 `client/Assets/Scripts/View/UnitView.cs:216`）；`clover-client-unity-engine/Runtime/Presentation/UIWidgets.cs:1063 / 1112-1114 / 1315`；`client/Assets/Scripts/View/UnitView.cs` 的 `SortingOrder.HpBar`(=2000) 与 `ArenaView.cs` 的 `orderBlueHalf/orderRedHalf`；判据脚本 `tools/probes/cr-d133-verify-ours.py` ⇒ `.ai-tmp/test/CR-D133-verify-ours.txt`；截图 `.ai-tmp/screenshots/D133-order0-cam.png`（塔条 0 条）vs `D133-order2000-cam.png`（塔条 5 条）；driver `.ai-tmp/drivers/D133-tower-drive.cs`（负控 A/B 两阶段）	已消除（第 4 链实机复核：5 条塔条在渲染帧里可见，且像素实测 y 与 dump 的 `HPQUAD screen=` 相差 ≤ 0.5 px）
